
2023/07/17 (12:56:33) | ===> btop++ v.1.2.13
2023/07/17 (12:56:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/17 (14:39:42) | ===> btop++ v.1.2.13
2023/07/17 (14:39:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/30 (11:09:03) | ===> btop++ v.1.2.13
2023/07/30 (11:09:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/17 (08:33:47) | ===> btop++ v.1.2.13
2023/08/17 (08:33:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/17 (08:34:17) | ===> btop++ v.1.2.13
2023/08/17 (08:34:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/17 (08:39:06) | ===> btop++ v.1.2.13
2023/08/17 (08:39:06) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/17 (08:44:21) | ===> btop++ v.1.2.13
2023/08/17 (08:44:21) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/21 (23:47:50) | ===> btop++ v.1.2.13
2023/08/21 (23:47:50) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/22 (15:12:26) | ===> btop++ v.1.2.13
2023/08/22 (15:12:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/27 (15:48:15) | ===> btop++ v.1.2.13
2023/08/27 (15:48:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
